Zakrajsek,Codd,59
Ellis,Tarski,83
Landing,Turing,67
Codd,Davies,21
Napier,Quine,66
Harary,Householder,90
Bellman,Frege,92
Taussky,Blanch,2
Kleenex,Nygaard,79
Goedel,Meltzer,88
Postel,Nygaard,7
Michie,Licklider,1
Delemain,Gill,44
Wijngaarden,Keller,45
Ritchie,Williamson,62
Quine,Murdock,89
Bush,Blanch,35
Even,Asprey,36
Forsythe,Turing,93
Forsythe,Nygaard,70
Ladd,Turing,87
Licklider,Papert,40
Codd,Zakrajsek,59
Murdock,Michie,6
Codd,Naur,3
Nygaard,Postel,7
Flowers,Williamson,44
Householder,Wijngaarden,13
Bollee,Karpinski,67
Turing,Napier,95
Delemain,Easley,38
Hamming,Zermelo,78
Michie,Keller,18
Postel,Avram,86
Licklider,Ichbiah,31
Easley,Delemain,38
Wijngaarden,Householder,13
Baldwin,Koenig,76
Frege,Bellman,92
Harary,Zeus,66
Easley,Williamson,15
Tarski,Rasiowa,82
Torres,Harary,4
Papert,Hermann,36
Licklider,Michie,1
Baldwin,Griswold,12
Rasiowa,Tarski,82
Avram,Easley,13
Postel,Wijngaarden,79
Flowers,Licklider,40
Asprey,Wilkinson,56
Naur,Codd,3
Asprey,Bollee,84
Forsythe,Zakrajsek,21
Wilkins,Cunningham,31
Harary,Wijngaarden,5
Wijngaarden,Postel,79
Papert,Wilkins,67
Bush,Kleenex,77
Frege,Codd,55
Strachey,Griswold,19
Jones,Zeus,35
Davies,Codd,21
Hermann,Papert,36
Wijngaarden,Harary,5
Turing,Landing,67
Keller,Wijngaarden,45
Bollee,Flowers,85
Avram,Postel,86
Gill,Delemain,44
Zeus,Easley,17
Gill,Torres,63
Even,Bellman,32
Zeus,Jones,35
Loeb,Rhodes,14
Wang,Noyce,91
Kleenex,Davies,68
Ichbiah,Harary,56
Rasiowa,Delemain,44
Stanhope,Karpinski,72
Frege,Stanhope,32
Rosser,Oughtred,96
Oughtred,Rosser,96
Strachey,Cunningham,5
Ladd,Hollerith,78
Blanch,Wang,37
Griswold,Koenig,70
Keller,Galler,3
Jones,Zermelo,3
Michie,Naur,40
Rasiowa,Easley,61
Wilkins,Wijngaarden,97
Harary,Rasiowa,23
Wilkins,Hollerith,91
Wijngaarden,Forsythe,20
Davies,Frege,99
Zakrajsek,Forsythe,21
Naur,Ellis,51
Zeus,Harary,66
Asprey,Mccarthy,44
Fasenmyer,Wilkins,48
Easley,Burroughs,64
Rosser,Bollee,85
Zermelo,Jones,3
Peano,Cunningham,87
Avram,Bellman,6
Hamming,Napier,8
Codd,Ritchie,80
Wijngaarden,Wilkins,97
Murdock,Motwani,82
Loeb,Bollee,66
Karpinski,Holberton,97
Zakrajsek,Ellis,15
Torres,Hamming,40
Hamming,Torres,40
Bellman,Even,32
Zakrajsek,Davies,39
Keller,Michie,18
Galler,Tarski,8
Wijngaarden,Galler,51
Hollerith,Cunningham,1
Wijngaarden,Avram,68
Holberton,Karpinski,97
Flowers,Stanhope,60
Wang,Postel,78
Wang,Davies,14
Naur,Michie,40
Even,Landing,28
Peano,Keller,11
Tarski,Galler,8
Hollerith,Wilkins,91
Loeb,Goedel,13
Harary,Torres,4
Hamming,Tarski,96
Rhodes,Loeb,14
Delemain,Loeb,10
Michie,Harary,48
Motwani,Zakrajsek,95
Householder,Jones,46
Frege,Davies,99
Noyce,Wang,91
Torres,Gill,63
Meltzer,Goedel,88
Koenig,Baldwin,76
Taussky,Codd,88
Kleenex,Bush,77
Burroughs,Quine,13
Ellis,Landing,95
Michie,Chapanis,66
Rosser,Ritchie,18
Nygaard,Kleenex,79
Mccarthy,Asprey,44
Asprey,Even,36
Rasiowa,Loeb,84
Papert,Licklider,40
Goedel,Loeb,13
Galler,Zeus,82
Rasiowa,Bush,37
Flowers,Forsythe,46
Bollee,Asprey,84
Napier,Hamming,8
Ritchie,Codd,80
Bellman,Avram,6
Mccarthy,Papert,2
Torres,Jones,99
Even,Strachey,68
Harary,Davies,82
Loeb,Rasiowa,84
