Naur,Galler,57
Kilburn,Davies,21
Oughtred,Holberton,73
Avram,Wilkins,49
Karpinski,Rosser,36
Berkeley,Gill,54
Hollerith,Zermelo,13
Codd,Verea,83
Asprey,Ichbiah,60
Fasenmyer,Holberton,37
Rasiowa,Ladd,94
Ichbiah,Torres,21
Turing,Bollee,56
Codd,Landing,49
Householder,Karpinski,65
Baldwin,Griswold,60
Zakrajsek,Avram,96
Hollerith,Griswold,86
Gill,Codd,42
Landing,Tarski,46
Burroughs,Taussky,89
Stanhope,Bellman,32
Chapanis,Noyce,60
Holberton,Fasenmyer,37
Householder,Salton,84
Hollerith,Bush,19
Davies,Zeus,53
Bollee,Turing,56
Ladd,Avram,23
Pnueli,Chapanis,51
Berkeley,Noyce,1
Williamson,Flowers,75
Koenig,Oughtred,76
Karpinski,Hermann,22
Griswold,Bush,67
Oughtred,Wijngaarden,74
Salton,Burroughs,37
Turing,Householder,57
Motwani,Hamming,18
Rosser,Mccarthy,97
Ellis,Zeus,16
Motwani,Griswold,48
Baldwin,Quine,9
Flowers,Williamson,75
Delemain,Holberton,88
Bellman,Grinberg,43
Berkeley,Bush,96
Zeus,Hermann,15
Zermelo,Licklider,53
Bellman,Rasiowa,91
Quine,Oughtred,87
Quine,Codd,12
Flowers,Delemain,94
Hamming,Berkeley,84
Kilburn,Holberton,23
Flowers,Rasiowa,61
Papert,Forsythe,43
Frege,Zeus,16
Verea,Williamson,25
Noyce,Berkeley,1
Zermelo,Even,97
Hamming,Baldwin,48
Keller,Chapanis,9
Strachey,Quine,19
Salton,Wilkins,49
Karpinski,Ritchie,36
Bollee,Kilburn,80
Wijngaarden,Mccarthy,47
Baldwin,Wang,70
Zermelo,Gill,43
Quine,Baldwin,9
Naur,Harary,72
Keller,Murdock,5
Zeus,Wang,88
Landing,Mccarthy,77
Hamming,Motwani,18
Napier,Asprey,34
Rasiowa,Bellman,91
Delemain,Baldwin,39
Ichbiah,Asprey,60
Salton,Grinberg,19
Grinberg,Taussky,39
Griswold,Baldwin,60
Peano,Baldwin,56
Rhodes,Kilburn,25
Zermelo,Hollerith,13
Keller,Michie,76
Chapanis,Postel,38
Landing,Codd,49
Hamming,Codd,22
Zermelo,Hermann,93
Motwani,Even,81
Griswold,Motwani,48
Pnueli,Blanch,34
Kilburn,Licklider,76
Hermann,Zermelo,93
Hollerith,Postel,24
Bollee,Ritchie,67
Asprey,Wang,33
Keller,Blanch,44
Papert,Hermann,53
Baldwin,Stanhope,55
Codd,Quine,12
Ritchie,Rosser,52
Hamming,Karpinski,16
Gill,Frege,16
Hollerith,Salton,33
Karpinski,Hamming,16
Naur,Wilkins,83
Hamming,Wilkins,19
Wilkinson,Murdock,53
Codd,Williamson,28
Forsythe,Zeus,70
Naur,Jones,53
Harary,Blanch,52
Baldwin,Hamming,48
Landing,Wijngaarden,34
Oughtred,Quine,87
Verea,Ritchie,15
Licklider,Zermelo,53
Rosser,Harary,82
Delemain,Flowers,94
Keller,Even,32
Codd,Gill,42
Hermann,Avram,22
Holberton,Oughtred,73
Rasiowa,Flowers,61
Kleenex,Noyce,67
Stanhope,Baldwin,55
Strachey,Easley,30
Karpinski,Easley,11
Fasenmyer,Chapanis,88
Zakrajsek,Flowers,59
Wang,Asprey,33
