Verea,Kleenex,29
Davies,Strachey,39
Pnueli,Gill,4
Rasiowa,Baldwin,1
Fasenmyer,Hamming,36
Jones,Noyce,1
Strachey,Ritchie,20
Hamming,Cunningham,55
Koenig,Taussky,63
Galler,Davies,83
Loeb,Pnueli,13
Fasenmyer,Berkeley,44
Fasenmyer,Postel,1
Salton,Fasenmyer,62
Michie,Householder,69
Cunningham,Harary,99
Wilkins,Fasenmyer,38
Hollerith,Gill,68
Stanhope,Salton,83
Hermann,Wijngaarden,73
Fasenmyer,Napier,100
Delemain,Quine,74
Davies,Cunningham,50
Even,Avram,77
Forsythe,Davies,33
Codd,Ladd,7
Delemain,Davies,36
Williamson,Holberton,17
Mccarthy,Even,41
Pnueli,Blanch,5
Torres,Avram,22
Bellman,Flowers,65
Easley,Davies,22
Gill,Pnueli,4
Householder,Keller,14
Verea,Ichbiah,7
Bush,Codd,29
Mccarthy,Hamming,38
Wijngaarden,Zakrajsek,97
Zeus,Napier,28
Tarski,Williamson,78
Ritchie,Motwani,2
Flowers,Bellman,65
Holberton,Oughtred,69
Naur,Meltzer,43
Naur,Delemain,24
Forsythe,Stanhope,28
Meltzer,Goedel,69
Bush,Taussky,84
Taussky,Verea,69
Galler,Mccarthy,81
Bollee,Koenig,2
Codd,Rhodes,86
Bellman,Michie,73
Burroughs,Zermelo,78
Zermelo,Burroughs,78
Pnueli,Meltzer,68
Nygaard,Delemain,48
Codd,Licklider,30
Frege,Tarski,38
Napier,Mccarthy,78
Easley,Napier,57
Hamming,Quine,61
Jones,Rasiowa,71
Quine,Zakrajsek,30
Ladd,Ichbiah,20
Motwani,Harary,62
Postel,Kleenex,65
Frege,Griswold,7
Napier,Fasenmyer,100
Goedel,Jones,24
Householder,Postel,88
Naur,Taussky,47
Gill,Noyce,33
Napier,Easley,57
Meltzer,Bellman,72
Davies,Salton,71
Goedel,Meltzer,69
Zermelo,Delemain,29
Keller,Codd,30
Nygaard,Pnueli,80
Bollee,Rhodes,74
Delemain,Oughtred,50
Ladd,Frege,65
Baldwin,Asprey,85
Hamming,Mccarthy,38
Griswold,Frege,7
Strachey,Davies,39
Codd,Bush,29
Avram,Noyce,8
Wilkins,Pnueli,74
Bollee,Verea,33
Even,Forsythe,96
Bellman,Karpinski,13
Motwani,Ritchie,2
Forsythe,Delemain,22
Galler,Stanhope,84
Goedel,Chapanis,14
Avram,Even,77
Cunningham,Wilkinson,32
Napier,Ichbiah,86
Fasenmyer,Grinberg,53
Verea,Bollee,33
Rhodes,Codd,86
Codd,Keller,30
Codd,Baldwin,67
Fasenmyer,Salton,62
Even,Loeb,48
Torres,Landing,61
Ladd,Licklider,33
Murdock,Torres,72
Oughtred,Bollee,73
Licklider,Ladd,33
Kilburn,Keller,54
Cunningham,Hamming,55
Pnueli,Nygaard,80
Asprey,Harary,12
Holberton,Galler,36
Strachey,Michie,77
Mccarthy,Hermann,86
Taussky,Kilburn,6
Chapanis,Noyce,23
Chapanis,Goedel,14
Rosser,Michie,57
Taussky,Zeus,92
Kleenex,Berkeley,38
Bellman,Meltzer,72
Rasiowa,Murdock,68
Michie,Quine,77
