Forsythe,Michie,92
Rasiowa,Ladd,10
Wilkinson,Zermelo,75
Easley,Householder,96
Turing,Bush,49
Blanch,Harary,22
Papert,Householder,31
Householder,Rosser,74
Kleenex,Chapanis,19
Michie,Murdock,88
Kleenex,Bellman,17
Ladd,Quine,38
Ritchie,Goedel,78
Ichbiah,Baldwin,74
Tarski,Postel,49
Hermann,Berkeley,44
Pnueli,Ichbiah,92
Nygaard,Koenig,13
Codd,Grinberg,51
Noyce,Wilkinson,62
Pnueli,Wilkinson,48
Keller,Gill,5
Hamming,Torres,52
Turing,Stanhope,72
Quine,Murdock,79
Zeus,Bollee,100
Noyce,Fasenmyer,63
Blanch,Cunningham,96
Berkeley,Asprey,100
Ichbiah,Mccarthy,14
Napier,Holberton,69
Asprey,Blanch,5
Codd,Frege,87
Kilburn,Harary,72
Postel,Keller,47
Taussky,Stanhope,6
Householder,Murdock,66
Fasenmyer,Noyce,63
Blanch,Asprey,5
Bollee,Asprey,26
Rosser,Householder,74
Loeb,Cunningham,40
Forsythe,Strachey,32
Motwani,Harary,70
Peano,Blanch,86
Holberton,Verea,26
Ichbiah,Grinberg,57
Keller,Tarski,89
Oughtred,Strachey,100
Oughtred,Koenig,80
Wilkinson,Noyce,62
Delemain,Burroughs,97
Even,Gill,18
Williamson,Wijngaarden,59
Gill,Ritchie,98
Even,Strachey,34
Noyce,Delemain,9
Rhodes,Stanhope,17
Even,Mccarthy,61
Davies,Oughtred,67
Ritchie,Licklider,4
Bush,Landing,30
Asprey,Hamming,78
Forsythe,Rasiowa,95
Jones,Avram,86
Blanch,Bollee,98
Rosser,Napier,64
Pnueli,Bellman,68
Hamming,Asprey,78
Zakrajsek,Bellman,99
Bush,Turing,49
Wilkinson,Motwani,43
Quine,Ladd,38
Galler,Naur,100
Ichbiah,Pnueli,92
Goedel,Wilkins,87
Strachey,Blanch,97
Fasenmyer,Householder,70
Postel,Bush,88
Frege,Rasiowa,24
Householder,Fasenmyer,70
Michie,Ladd,67
Oughtred,Taussky,63
Avram,Quine,86
Gill,Even,18
Zermelo,Jones,83
Rhodes,Harary,44
Burroughs,Napier,35
Delemain,Noyce,9
Jones,Landing,80
Avram,Bollee,55
Ladd,Strachey,99
Burroughs,Delemain,97
Kleenex,Tarski,72
Goedel,Ritchie,78
Baldwin,Galler,51
Nygaard,Wang,23
Flowers,Householder,99
Torres,Postel,69
Koenig,Nygaard,13
Cunningham,Galler,60
Rasiowa,Bush,5
Rhodes,Burroughs,44
Michie,Flowers,85
Zermelo,Wilkinson,75
Strachey,Forsythe,32
Peano,Ellis,26
Bollee,Zeus,100
Meltzer,Rosser,99
Naur,Galler,100
Gill,Keller,5
Williamson,Hamming,73
Bellman,Kleenex,17
Delemain,Ellis,77
Galler,Cunningham,60
Motwani,Hamming,50
